Üniversite,Bölüm,İmam Hatip Sayısı,İmam Hatip Oranı,URL
"ŞIRNAK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","23","% 36,5","https://yokatlas.yok.gov.tr/lisans.php?y=109310016"
"TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","28","% 44,4","https://yokatlas.yok.gov.tr/lisans.php?y=107910422"
"TRABZON ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","79","% 50,6","https://yokatlas.yok.gov.tr/lisans.php?y=112110838"
"TRAKYA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","42","% 40,0","https://yokatlas.yok.gov.tr/lisans.php?y=109410678"
"UŞAK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","60","% 51,7","https://yokatlas.yok.gov.tr/lisans.php?y=109890321"
"VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","52","% 31,3","https://yokatlas.yok.gov.tr/lisans.php?y=110210612"
"YOZGAT BOZOK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","56","% 45,5","https://yokatlas.yok.gov.tr/lisans.php?y=102310197"
"ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","57","% 45,6","https://yokatlas.yok.gov.tr/lisans.php?y=110310523"
"ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=110390272"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (Burslu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","7","% 77,8","https://yokatlas.yok.gov.tr/lisans.php?y=202210329"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (%50 İndirimli) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","41","% 80,4","https://yokatlas.yok.gov.tr/lisans.php?y=202210330"
"YAKIN DOĞU ÜNİVERSİTESİ (Burslu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","5","% 31,3","https://yokatlas.yok.gov.tr/lisans.php?y=300511231"
"HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","4","% 26,7","https://yokatlas.yok.gov.tr/lisans.php?y=403990032"
"KIRGIZİSTAN-TÜRKİYE MANAS ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=405210389"
