Üniversite Adı,Üniversite Türü,Bölüm,İH 2023 Sayı,İH 2023 Oran,İH 2024 Sayı,İH 2024 Oran,İH 2025 Sayı,İH 2025 Oran,URL
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ANTROPOLOJİ","1","%1,6","2","% 3,0","3","% 5,8","https://yokatlas.yok.gov.tr/lisans.php?y=105610334"
"KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ (KIRŞEHİR)","Devlet","ANTROPOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","4","% 10,8","https://yokatlas.yok.gov.tr/lisans.php?y=100610207"
"MARDİN ARTUKLU ÜNİVERSİTESİ (MARDİN)","Devlet","ANTROPOLOJİ","Bulunamadı","Bulunamadı","1","% 3,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107110087"
"VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ (VAN)","Devlet","ANTROPOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=110210393"
"ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ANTROPOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204890139"
"ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ANTROPOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204890146"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ANTROPOLOJİ","1","%10,0","Bulunamadı","Bulunamadı","1","% 10,0","https://yokatlas.yok.gov.tr/lisans.php?y=206110141"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ANTROPOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206190329"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ARAP DİLİ VE EDEBİYATI","4","%6,4","4","% 6,5","7","% 11,3","https://yokatlas.yok.gov.tr/lisans.php?y=101110042"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ARAP DİLİ VE EDEBİYATI","17","%16,0","16","% 15,5","20","% 19,4","https://yokatlas.yok.gov.tr/lisans.php?y=101190427"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ARAP DİLİ VE EDEBİYATI","24","%37,5","31","% 46,3","28","% 41,8","https://yokatlas.yok.gov.tr/lisans.php?y=101410048"
"BİNGÖL ÜNİVERSİTESİ (BİNGÖL)","Devlet","ARAP DİLİ VE EDEBİYATI","14","%25,9","22","% 37,9","18","% 31,0","https://yokatlas.yok.gov.tr/lisans.php?y=102090063"
"BİTLİS EREN ÜNİVERSİTESİ (BİTLİS)","Devlet","ARAP DİLİ VE EDEBİYATI","8","%19,1","12","% 24,5","12","% 25,0","https://yokatlas.yok.gov.tr/lisans.php?y=102190155"
"DİCLE ÜNİVERSİTESİ (DİYARBAKIR)","Devlet","ARAP DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103090289"
"HARRAN ÜNİVERSİTESİ (ŞANLIURFA)","Devlet","ARAP DİLİ VE EDEBİYATI","6","%15,0","10","% 21,7","13","% 32,5","https://yokatlas.yok.gov.tr/lisans.php?y=105090242"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ARAP DİLİ VE EDEBİYATI","18","%21,4","24","% 27,3","17","% 19,3","https://yokatlas.yok.gov.tr/lisans.php?y=105610088"
"KAFKAS ÜNİVERSİTESİ (KARS)","Devlet","ARAP DİLİ VE EDEBİYATI","10","%23,8","18","% 43,9","16","% 38,1","https://yokatlas.yok.gov.tr/lisans.php?y=105910401"
"KİLİS 7 ARALIK ÜNİVERSİTESİ (KİLİS)","Devlet","ARAP DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106870397"
"MARDİN ARTUKLU ÜNİVERSİTESİ (MARDİN)","Devlet","ARAP DİLİ VE EDEBİYATI","16","%25,0","17","% 24,6","20","% 29,9","https://yokatlas.yok.gov.tr/lisans.php?y=107110157"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ARAP DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=108990589"
"ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101090748"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ (ANKARA)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","9","%14,1","11","% 15,9","12","% 17,4","https://yokatlas.yok.gov.tr/lisans.php?y=111790330"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (ANKARA)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","10","%15,6","13","% 18,8","13","% 19,1","https://yokatlas.yok.gov.tr/lisans.php?y=110090093"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (ANKARA)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110090214"
"BARTIN ÜNİVERSİTESİ (BARTIN)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101690197"
"BİNGÖL ÜNİVERSİTESİ (BİNGÖL)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","9","%28,1","10","% 31,3","7","% 22,6","https://yokatlas.yok.gov.tr/lisans.php?y=102090189"
"GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (GAZİANTEP)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","12","%30,0","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=111210074"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","9","%28,1","13","% 36,1","11","% 30,6","https://yokatlas.yok.gov.tr/lisans.php?y=105690809"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105690893"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","23","%35,9","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106390185"
"KIRIKKALE ÜNİVERSİTESİ (KIRIKKALE)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","16","%29,6","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106690370"
"ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","5","%11,9","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=108290523"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ARAPÇA MÜTERCİM VE TERCÜMANLIK","16","%25,0","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=108990540"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","7","%20,6","13","% 31,0","24","% 43,6","https://yokatlas.yok.gov.tr/lisans.php?y=202210341"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","6","%85,7","4","% 50,0","5","% 50,0","https://yokatlas.yok.gov.tr/lisans.php?y=202210340"
"İSTANBUL AYDIN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","6","%30,0","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=202490793"
"İSTANBUL AYDIN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=202490786"
"KTO KARATAY ÜNİVERSİTESİ (KONYA)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204090475"
"KTO KARATAY ÜNİVERSİTESİ (KONYA)","Vakıf","ARAPÇA MÜTERCİM VE TERCÜMANLIK","4","%26,7","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204090489"
"ADIYAMAN ÜNİVERSİTESİ (ADIYAMAN)","Devlet","ARAPÇA ÖĞRETMENLİĞİ","14","%27,5","28","% 48,3","12","% 35,3","https://yokatlas.yok.gov.tr/lisans.php?y=100210283"
"GAZİ ÜNİVERSİTESİ (ANKARA)","Devlet","ARAPÇA ÖĞRETMENLİĞİ","26","%41,9","30","% 57,7","25","% 48,1","https://yokatlas.yok.gov.tr/lisans.php?y=104110209"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA)","Devlet","ARAPÇA ÖĞRETMENLİĞİ","19","%46,3","25","% 61,0","18","% 43,9","https://yokatlas.yok.gov.tr/lisans.php?y=107090216"
"SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA)","Devlet","ARAPÇA ÖĞRETMENLİĞİ","19","%30,7","15","% 48,4","14","% 53,8","https://yokatlas.yok.gov.tr/lisans.php?y=109290320"
"FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","1","%20,0","2","% 40,0","1","% 20,0","https://yokatlas.yok.gov.tr/lisans.php?y=201490082"
"FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","6","%27,3","2","% 25,0","1","% 25,0","https://yokatlas.yok.gov.tr/lisans.php?y=201490083"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","9","%81,8","3","% 33,3","2","% 22,2","https://yokatlas.yok.gov.tr/lisans.php?y=202210344"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","15","%29,4","23","% 45,1","10","% 52,6","https://yokatlas.yok.gov.tr/lisans.php?y=202210345"
"İSTANBUL AYDIN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","1","%20,0","2","% 50,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202412164"
"İSTANBUL AYDIN ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","4","%33,3","4","% 40,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202412243"
"İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","5","%83,3","2","% 50,0","5","% 83,3","https://yokatlas.yok.gov.tr/lisans.php?y=203211095"
"İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARAPÇA ÖĞRETMENLİĞİ","2","%11,1","6","% 35,3","2","% 15,4","https://yokatlas.yok.gov.tr/lisans.php?y=203211111"
"ADIYAMAN ÜNİVERSİTESİ (ADIYAMAN)","Devlet","ARKEOLOJİ","1","%2,5","2","% 5,0","2","% 5,7","https://yokatlas.yok.gov.tr/lisans.php?y=100210317"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","ARKEOLOJİ","1","%1,6","2","% 6,3","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100710048"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=100810417"
"ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","ARKEOLOJİ","2","%3,1","Bulunamadı","Bulunamadı","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=101010025"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ (ANKARA)","Devlet","ARKEOLOJİ","4","%7,4","2","% 6,3","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=111711613"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","2","% 7,7","3","% 11,5","https://yokatlas.yok.gov.tr/lisans.php?y=101110051"
"ARDAHAN ÜNİVERSİTESİ (ARDAHAN)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101290317"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ARKEOLOJİ","1","%2,7","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101410057"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","ARKEOLOJİ","1","%2,4","1","% 3,1","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100310052"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ARKEOLOJİ","2","%6,3","3","% 9,4","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=107390259"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","ARKEOLOJİ","9","%14,1","Bulunamadı","Bulunamadı","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=109710472"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","ARKEOLOJİ","3","%5,6","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=102710139"
"ÇUKUROVA ÜNİVERSİTESİ (ADANA)","Devlet","ARKEOLOJİ","1","%1,5","1","% 2,6","1","% 3,4","https://yokatlas.yok.gov.tr/lisans.php?y=102910613"
"DİCLE ÜNİVERSİTESİ (DİYARBAKIR)","Devlet","ARKEOLOJİ","2","%2,5","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103090296"
"DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","Devlet","ARKEOLOJİ","2","%3,1","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103110212"
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","ARKEOLOJİ","2","%7,4","1","% 3,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103310307"
"GAZİANTEP ÜNİVERSİTESİ (GAZİANTEP)","Devlet","ARKEOLOJİ","1","%1,9","1","% 2,5","2","% 5,7","https://yokatlas.yok.gov.tr/lisans.php?y=104210014"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=104810053"
"HARRAN ÜNİVERSİTESİ (ŞANLIURFA)","Devlet","ARKEOLOJİ","3","%7,5","1","% 2,5","1","% 2,9","https://yokatlas.yok.gov.tr/lisans.php?y=105010349"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (HATAY)","Devlet","ARKEOLOJİ","2","%7,4","3","% 9,1","1","% 3,3","https://yokatlas.yok.gov.tr/lisans.php?y=107710045"
"HİTİT ÜNİVERSİTESİ (ÇORUM)","Devlet","ARKEOLOJİ","2","%9,1","4","% 14,8","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105190180"
"İZMİR DEMOKRASİ ÜNİVERSİTESİ (İZMİR)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=111110065"
"İZMİR DEMOKRASİ ÜNİVERSİTESİ (İZMİR)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=111110203"
"KAFKAS ÜNİVERSİTESİ (KARS)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","3","% 13,6","https://yokatlas.yok.gov.tr/lisans.php?y=105990172"
"KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ (KAHRAMANMARAŞ)","Devlet","ARKEOLOJİ","1","%2,5","3","% 7,5","2","% 5,7","https://yokatlas.yok.gov.tr/lisans.php?y=106010443"
"KARABÜK ÜNİVERSİTESİ (KARABÜK)","Devlet","ARKEOLOJİ","1","%4,6","1","% 4,5","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106190432"
"KARADENİZ TEKNİK ÜNİVERSİTESİ (TRABZON)","Devlet","ARKEOLOJİ","2","%6,3","3","% 9,7","4","% 12,9","https://yokatlas.yok.gov.tr/lisans.php?y=106290134"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106310149"
"KASTAMONU ÜNİVERSİTESİ (KASTAMONU)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106490206"
"KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ (KIRŞEHİR)","Devlet","ARKEOLOJİ","3","%9,4","4","% 12,5","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=100610155"
"KOCAELİ ÜNİVERSİTESİ (KOCAELİ)","Devlet","ARKEOLOJİ","2","%4,8","3","% 9,4","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=106910082"
"KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ (KÜTAHYA)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","1","% 3,1","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=103210053"
"MANİSA CELÂL BAYAR ÜNİVERSİTESİ (MANİSA)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102590440"
"MARDİN ARTUKLU ÜNİVERSİTESİ (MARDİN)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","3","% 9,4","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=107110218"
"MERSİN ÜNİVERSİTESİ (MERSİN)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=107410093"
"MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ (İSTANBUL)","Devlet","ARKEOLOJİ","2","%3,1","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107510011"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=107610082"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (NEVŞEHİR)","Devlet","ARKEOLOJİ","4","%12,5","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=108010173"
"ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)","Devlet","ARKEOLOJİ","1","%1,9","1","% 3,1","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=108210895"
"OSMANİYE KORKUT ATA ÜNİVERSİTESİ (OSMANİYE)","Devlet","ARKEOLOJİ","3","%7,5","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=108570620"
"PAMUKKALE ÜNİVERSİTESİ (DENİZLİ)","Devlet","ARKEOLOJİ","3","%7,1","Bulunamadı","Bulunamadı","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=108610088"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ARKEOLOJİ","2","%4,8","4","% 12,5","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=108910234"
"SİNOP ÜNİVERSİTESİ (SİNOP)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=109110248"
"SİVAS CUMHURİYET ÜNİVERSİTESİ (SİVAS)","Devlet","ARKEOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102690357"
"SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA)","Devlet","ARKEOLOJİ","2","%4,8","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=109290417"
"TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ (TEKİRDAĞ)","Devlet","ARKEOLOJİ","1","%2,4","Bulunamadı","Bulunamadı","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=107990052"
"TRAKYA ÜNİVERSİTESİ (EDİRNE)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","1","% 3,1","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=109410078"
"UŞAK ÜNİVERSİTESİ (UŞAK)","Devlet","ARKEOLOJİ","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=109890195"
"VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ (VAN)","Devlet","ARKEOLOJİ","1","%3,1","Bulunamadı","Bulunamadı","1","% 3,6","https://yokatlas.yok.gov.tr/lisans.php?y=110210384"
"İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","ARKEOLOJİ","Bulunamadı","Bulunamadı","1","% 20,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202110911"
"İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202110841"
"ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=301610115"
"ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ARKEOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=301610129"
"ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ARKEOLOJİ","1","%20,0","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=301610122"
"KOÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARKEOLOJİ VE SANAT TARİHİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=203910018"
"KOÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ARKEOLOJİ VE SANAT TARİHİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=203910027"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KIBRIS)","KKTC","ARKEOLOJİ VE SANAT TARİHİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=300190699"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KIBRIS)","KKTC","ARKEOLOJİ VE SANAT TARİHİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=300190706"
"TRAKYA ÜNİVERSİTESİ (EDİRNE)","Devlet","ARNAVUT DİLİ VE EDEBİYATI","1","%4,8","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=109410254"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ASTRONOMİ VE UZAY BİLİMLERİ","Bulunamadı","Bulunamadı","5","% 10,6","1","% 2,1","https://yokatlas.yok.gov.tr/lisans.php?y=101110457"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ASTRONOMİ VE UZAY BİLİMLERİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101190626"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ASTRONOMİ VE UZAY BİLİMLERİ","3","%9,7","3","% 9,7","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=101490406"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","ASTRONOMİ VE UZAY BİLİMLERİ","1","%1,9","1","% 1,8","3","% 5,3","https://yokatlas.yok.gov.tr/lisans.php?y=103410184"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","ASTRONOMİ VE UZAY BİLİMLERİ","4","%9,5","3","% 7,3","9","% 22,0","https://yokatlas.yok.gov.tr/lisans.php?y=103510102"
